deck1,deck2,wins,losses,ties,total,win_rate
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,16,16,1,33,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-a1a-farfetchd-a1,16,16,1,33,49.5
aerodactyl-ex-a1a-farfetchd-a1,aerodactyl-ex-primeape-a1a,49,28,1,78,63.2
aerodactyl-ex-primeape-a1a,aerodactyl-ex-a1a-farfetchd-a1,28,49,1,78,36.3
aerodactyl-ex-a1a-farfetchd-a1,arcanine-ex-moltres-ex-a1,16,13,4,33,52.5
arcanine-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,13,16,4,33,43.4
aerodactyl-ex-a1a-farfetchd-a1,celebi-ex-serperior-a1a,29,49,7,85,36.9
celebi-ex-serperior-a1a,aerodactyl-ex-a1a-farfetchd-a1,49,29,7,85,60.4
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-arcanine-ex-a1,31,30,2,63,50.3
charizard-ex-arcanine-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,30,31,2,63,48.7
aerodactyl-ex-a1a-farfetchd-a1,charizard-ex-moltres-ex-a1,33,24,5,62,55.9
charizard-ex-moltres-ex-a1,aerodactyl-ex-a1a-farfetchd-a1,24,33,5,62,41.4
aerodactyl-ex-a1a-farfetchd-a1,exeggutor-ex-a1-celebi-ex-a1a,37,80,8,125,31.7
exeggutor-ex-a1-celebi-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,80,37,8,125,66.1
aerodactyl-ex-a1a-farfetchd-a1,golem-druddigon-a1a,22,15,2,39,58.1
golem-druddigon-a1a,aerodactyl-ex-a1a-farfetchd-a1,15,22,2,39,40.2
aerodactyl-ex-a1a-farfetchd-a1,greninja-a1-mew-ex-a1a,19,24,2,45,43.7
greninja-a1-mew-ex-a1a,aerodactyl-ex-a1a-farfetchd-a1,24,19,2,45,54.8
aerodactyl-ex-a1a-farfetchd-a1,gyarados-ex-a1a-greninja-a1,155,62,15,232,69.0
